iter	Passed	Remaining
0	9	5500
1	18	5417
2	26	5246
3	35	5273
4	43	5185
5	52	5182
6	61	5205
7	71	5264
8	79	5219
9	88	5201
10	96	5185
11	106	5204
12	116	5240
13	125	5241
14	135	5282
15	143	5242
16	153	5248
17	161	5218
18	169	5171
19	178	5190
20	189	5224
21	199	5228
22	208	5234
23	216	5205
24	223	5148
25	231	5120
26	240	5096
27	276	5644
28	286	5646
29	297	5649
30	308	5655
31	317	5639
32	327	5626
33	339	5657
34	350	5652
35	361	5658
36	370	5635
37	378	5598
38	386	5565
39	395	5532
40	403	5499
41	412	5483
42	421	5461
43	430	5441
44	437	5401
45	445	5366
46	453	5337
47	463	5324
48	472	5318
49	482	5311
50	491	5295
51	500	5276
52	508	5252
53	516	5225
54	527	5222
55	536	5210
56	547	5215
57	555	5194
58	564	5175
59	572	5151
60	580	5133
61	589	5118
62	600	5116
63	610	5112
64	619	5100
65	628	5081
66	638	5075
67	646	5060
68	655	5044
69	665	5040
70	675	5033
71	685	5028
72	695	5024
73	705	5012
74	715	5007
75	748	5160
76	758	5153
77	768	5140
78	777	5125
79	788	5122
80	798	5115
81	816	5157
82	826	5151
83	837	5141
84	846	5126
85	854	5108
86	864	5096
87	875	5090
88	884	5077
89	893	5065
90	903	5051
91	910	5028
92	919	5013
93	927	4995
94	937	4986
95	947	4973
96	957	4964
97	967	4956
98	977	4948
99	987	4938
100	999	4936
101	1009	4930
102	1019	4920
103	1029	4908
104	1038	4896
105	1049	4889
106	1061	4889
107	1071	4881
108	1080	4868
109	1089	4854
110	1100	4846
111	1111	4842
112	1121	4832
113	1131	4822
114	1141	4814
115	1150	4799
116	1158	4781
117	1168	4775
118	1182	4780
119	1192	4770
120	1201	4758
121	1209	4740
122	1218	4726
123	1227	4710
124	1236	4700
125	1248	4697
126	1258	4688
127	1266	4670
128	1275	4655
129	1283	4640
130	1313	4703
131	1325	4699
132	1336	4692
133	1345	4679
134	1357	4674
135	1367	4663
136	1384	4678
137	1394	4669
138	1404	4658
139	1413	4644
140	1422	4629
141	1432	4619
142	1442	4609
143	1453	4601
144	1463	4591
145	1473	4581
146	1481	4565
147	1487	4542
148	1499	4537
149	1509	4529
150	1521	4524
151	1532	4515
152	1542	4505
153	1550	4489
154	1559	4476
155	1570	4470
156	1580	4460
157	1593	4457
158	1603	4448
159	1614	4438
160	1623	4426
161	1632	4413
162	1642	4402
163	1654	4398
164	1664	4387
165	1674	4377
166	1682	4363
167	1692	4351
168	1701	4340
169	1711	4329
170	1723	4323
171	1733	4314
172	1742	4300
173	1751	4289
174	1761	4276
175	1794	4323
176	1804	4313
177	1816	4305
178	1825	4293
179	1837	4286
180	1851	4285
181	1871	4299
182	1882	4290
183	1892	4277
184	1901	4265
185	1911	4253
186	1915	4230
187	1923	4216
188	1933	4205
189	1944	4196
190	1951	4178
191	1962	4171
192	1971	4158
193	1980	4145
194	1989	4132
195	2001	4125
196	2011	4115
197	2020	4103
198	2029	4089
199	2037	4075
200	2047	4064
201	2057	4054
202	2068	4044
203	2077	4033
204	2086	4020
205	2094	4006
206	2103	3993
207	2113	3982
208	2123	3971
209	2132	3960
210	2142	3949
211	2150	3936
212	2160	3926
213	2171	3915
214	2183	3909
215	2193	3899
216	2204	3891
217	2214	3880
218	2223	3869
219	2256	3897
220	2268	3890
221	2279	3881
222	2290	3872
223	2302	3864
224	2312	3854
225	2325	3847
226	2337	3840
227	2347	3829
228	2358	3820
229	2368	3810
230	2378	3798
231	2388	3788
232	2399	3778
233	2410	3770
234	2421	3761
235	2430	3749
236	2439	3737
237	2450	3726
238	2462	3719
239	2473	3710
240	2485	3702
241	2496	3693
242	2506	3682
243	2515	3669
244	2526	3660
245	2537	3651
246	2548	3641
247	2558	3631
248	2568	3620
249	2577	3608
250	2588	3598
251	2600	3590
252	2609	3579
253	2620	3570
254	2630	3559
255	2639	3546
256	2650	3536
257	2661	3528
258	2671	3517
259	2681	3506
260	2690	3494
261	2699	3482
262	2709	3472
263	2720	3461
264	2731	3452
265	2741	3442
266	2750	3430
267	2761	3420
268	2797	3442
269	2808	3433
270	2820	3423
271	2832	3415
272	2851	3415
273	2865	3409
274	2879	3403
275	2890	3393
276	2901	3383
277	2911	3372
278	2923	3363
279	2933	3352
280	2948	3347
281	2961	3340
282	2972	3329
283	2982	3318
284	2993	3308
285	3004	3298
286	3015	3288
287	3027	3279
288	3037	3268
289	3046	3256
290	3055	3244
291	3064	3232
292	3076	3223
293	3087	3213
294	3097	3202
295	3105	3189
296	3114	3177
297	3124	3166
298	3135	3156
299	3145	3145
300	3156	3135
301	3164	3122
302	3172	3109
303	3181	3097
304	3183	3079
305	3196	3071
306	3211	3064
307	3220	3053
308	3230	3042
309	3240	3031
310	3252	3022
311	3262	3011
312	3273	3001
313	3283	2990
314	3291	2978
315	3300	2966
316	3312	2956
317	3324	2947
318	3336	2939
319	3346	2928
320	3351	2913
321	3361	2902
322	3370	2890
323	3405	2900
324	3415	2890
325	3426	2880
326	3438	2870
327	3455	2865
328	3468	2857
329	3478	2846
330	3489	2835
331	3499	2825
332	3509	2814
333	3521	2804
334	3531	2793
335	3544	2784
336	3554	2774
337	3564	2763
338	3573	2751
339	3582	2739
340	3591	2727
341	3601	2717
342	3610	2705
343	3620	2694
344	3628	2682
345	3637	2670
346	3646	2658
347	3657	2648
348	3666	2636
349	3675	2625
350	3683	2613
351	3692	2601
352	3701	2590
353	3712	2579
354	3722	2568
355	3730	2557
356	3741	2546
357	3750	2535
358	3760	2524
359	3762	2508
360	3765	2493
361	3776	2483
362	3790	2474
363	3800	2464
364	3810	2453
365	3822	2443
366	3856	2448
367	3869	2439
368	3881	2429
369	3890	2418
370	3900	2407
371	3917	2401
372	3930	2392
373	3932	2376
374	3943	2365
375	3953	2355
376	3961	2343
377	3970	2331
378	3979	2320
379	3988	2309
380	3998	2298
381	4008	2287
382	4016	2275
383	4025	2264
384	4034	2253
385	4044	2242
386	4054	2231
387	4064	2220
388	4073	2209
389	4082	2198
390	4093	2188
391	4104	2177
392	4115	2167
393	4126	2157
394	4134	2145
395	4143	2134
396	4154	2124
397	4163	2113
398	4174	2102
399	4186	2093
400	4196	2082
401	4205	2071
402	4214	2060
403	4223	2049
404	4234	2039
405	4242	2027
406	4256	2018
407	4266	2007
408	4274	1996
409	4284	1985
410	4295	1975
411	4304	1964
412	4309	1951
413	4319	1940
414	4329	1929
415	4339	1919
416	4348	1908
417	4378	1906
418	4389	1895
419	4397	1884
420	4407	1874
421	4417	1863
422	4427	1852
423	4444	1845
424	4454	1834
425	4464	1823
426	4473	1812
427	4482	1801
428	4492	1790
429	4504	1780
430	4514	1770
431	4525	1759
432	4535	1749
433	4545	1738
434	4553	1727
