iter	RMSE
0	1.012305391
1	1.006239272
2	1.000104654
3	0.9938121905
4	0.9876339295
5	0.9811988883
6	0.9753011689
7	0.9698330548
8	0.9637782754
9	0.9577502843
10	0.9516598237
11	0.9459868185
12	0.9402656473
13	0.9344702069
14	0.9294204126
15	0.9234724459
16	0.917997933
17	0.912941488
18	0.9078068049
19	0.9031059153
20	0.8976177716
21	0.8922825944
22	0.8880474622
23	0.8829653459
24	0.8777620012
25	0.8729194942
26	0.8683681578
27	0.8636694576
28	0.8582757162
29	0.8537231023
30	0.8486164465
31	0.8438087855
32	0.8391503832
33	0.8345753172
34	0.8297550218
35	0.8252074631
36	0.8206582366
37	0.8161256633
38	0.811570731
39	0.8072513361
40	0.8030304695
41	0.798604297
42	0.7944589316
43	0.7903785767
44	0.786046535
45	0.7816354406
46	0.7775496791
47	0.7732420404
48	0.7691919052
49	0.7652586835
50	0.7611690795
51	0.7569729186
52	0.7532286138
53	0.7488696573
54	0.7453181106
55	0.7415302373
56	0.7378748638
57	0.7340451746
58	0.730827808
59	0.7273174324
60	0.7237744043
61	0.7195584141
62	0.7157982348
63	0.7117448292
64	0.708143903
65	0.7046844922
66	0.70121053
67	0.69764748
68	0.6941656845
69	0.6904763895
70	0.687036985
71	0.6837834799
72	0.6802303955
73	0.6770033748
74	0.6741033086
75	0.67067505
76	0.6671143646
77	0.6639133089
78	0.660807455
79	0.6576488062
80	0.6545907769
81	0.651885245
82	0.6489725543
83	0.6460048715
84	0.6435043826
85	0.6408164149
86	0.6381373917
87	0.6352754419
88	0.6325098133
89	0.6298155946
90	0.6271085415
91	0.6242075156
92	0.6213299817
93	0.618749389
94	0.6159659494
95	0.6133792154
96	0.6107807962
97	0.6078226405
98	0.6053070184
99	0.602941431
100	0.6003569446
101	0.5983071561
102	0.5958385623
103	0.5933986489
104	0.5910669247
105	0.5885211835
106	0.5858315836
107	0.5835506355
108	0.5815511273
109	0.5790192801
110	0.5767228197
111	0.5742633381
112	0.5719234061
113	0.5696690739
114	0.567773524
115	0.565465857
116	0.5631915415
117	0.5608658182
118	0.5589939461
119	0.5568603513
120	0.5547593816
121	0.5526415818
122	0.5503773328
123	0.5483698779
124	0.546480372
125	0.5443395955
126	0.5422375115
127	0.5400447987
128	0.5376723534
129	0.5357090314
130	0.5336909564
131	0.5317872225
132	0.5297383055
133	0.5273138619
134	0.5254746976
135	0.5233891253
136	0.5215381722
137	0.5196553778
138	0.5179553004
139	0.5162749476
140	0.5145313701
141	0.5125558833
142	0.5104964047
143	0.5087607056
144	0.5072370447
145	0.5055691663
146	0.5036731442
147	0.5020679146
148	0.500394843
149	0.4987516728
150	0.4969309709
151	0.4953532872
152	0.4935867402
153	0.4917280086
154	0.4901527213
155	0.4888296391
156	0.487060875
157	0.4856270992
158	0.4841425129
159	0.4823972728
160	0.4805737999
161	0.479248028
162	0.4776700352
163	0.4762233513
164	0.4748137649
165	0.4733267381
166	0.4718836538
167	0.470258183
168	0.4688407357
169	0.4671137896
170	0.4654788147
171	0.4639558481
172	0.4624054015
173	0.4612084805
174	0.4595357553
175	0.4580084065
176	0.4565069229
177	0.4551990573
178	0.4537489698
179	0.4522369863
180	0.4509125022
181	0.4496405418
182	0.4486416425
183	0.4473502021
184	0.4462646372
185	0.4449452922
186	0.443776547
187	0.4424457664
188	0.4411761206
189	0.4400379635
190	0.4389734877
191	0.4378957801
