iter	RMSE
0	0.9794445192
1	0.9733135116
2	0.9666516047
3	0.9607270138
4	0.9551353478
5	0.9490418573
6	0.9433938196
7	0.9377128216
8	0.9327220211
9	0.9265632933
10	0.9212848086
11	0.9154617796
12	0.9095151724
13	0.9044314572
14	0.8986320908
15	0.8932365755
16	0.8879446917
17	0.8823799201
18	0.8769332084
19	0.871339566
20	0.8664292839
21	0.8610988049
22	0.8561196552
23	0.8513709625
24	0.8463774842
25	0.8422755357
26	0.8376081695
27	0.8327843337
28	0.8277690201
29	0.8228721124
30	0.8184388268
31	0.813293265
32	0.8083037329
33	0.80411428
34	0.7995786031
35	0.7950028147
36	0.7907755928
37	0.7864167978
38	0.7819407742
39	0.7775715
40	0.7737816582
41	0.7693372367
42	0.7650348779
43	0.7611447503
44	0.7572155884
45	0.7533573604
46	0.7491143823
47	0.7452505658
48	0.7415854567
49	0.7374559503
50	0.7337092232
51	0.7296267948
52	0.7253664511
53	0.7215902748
54	0.7177408488
55	0.7138484067
56	0.7105209789
57	0.7070783522
58	0.7032654949
59	0.6993004677
60	0.6961888145
61	0.692649017
62	0.6893552811
63	0.6857388116
64	0.6826033541
65	0.6793975006
66	0.6757052107
67	0.6720928592
68	0.6688450657
69	0.6657110689
70	0.6624394798
71	0.6588804812
72	0.6557596653
73	0.6528672509
74	0.6500336352
75	0.6470998927
76	0.6435187795
77	0.6404690092
78	0.6375294648
79	0.6344548119
80	0.6313890608
81	0.6284261685
82	0.6254730846
83	0.6224813376
84	0.6198908131
85	0.6170290485
86	0.6147217394
87	0.611914643
88	0.6093223547
89	0.6063777433
90	0.6038931721
91	0.6009113861
92	0.5979218024
93	0.5953751735
94	0.5929565019
95	0.5902278437
96	0.5877136054
97	0.5851202599
98	0.5827836709
99	0.5804058308
100	0.5780481791
101	0.5757666732
102	0.5732420283
103	0.5707276551
104	0.5682282173
105	0.565856101
106	0.5633639801
107	0.5612008587
108	0.5588808949
109	0.5566316474
110	0.5541433074
111	0.5516969736
