iter	Passed	Remaining
0	9	5555
1	19	5832
2	28	5597
3	62	9244
4	86	10325
5	100	9908
6	110	9321
7	119	8844
8	128	8457
9	138	8160
10	149	8008
11	160	7852
12	174	7881
13	180	7551
14	190	7415
15	199	7274
16	209	7183
17	219	7090
18	228	6997
19	239	6955
20	252	6957
21	264	6955
22	275	6901
23	280	6720
24	291	6699
25	296	6536
26	305	6485
27	314	6421
28	325	6418
29	337	6421
30	351	6454
31	363	6456
32	372	6406
33	383	6378
34	392	6339
35	403	6321
36	416	6334
37	430	6364
38	441	6347
39	451	6317
40	460	6272
41	469	6238
42	481	6234
43	493	6233
44	502	6202
45	512	6173
46	521	6133
47	530	6100
48	540	6079
49	551	6065
50	563	6062
51	573	6042
52	581	6001
53	589	5965
54	598	5934
55	627	6091
56	637	6076
57	647	6046
58	656	6015
59	664	5982
60	673	5952
61	690	5991
62	701	5976
63	711	5955
64	721	5940
65	732	5922
66	742	5903
67	751	5881
68	763	5873
69	771	5840
70	784	5844
71	793	5820
72	802	5789
73	817	5809
74	827	5792
75	837	5773
76	851	5781
77	860	5755
78	870	5743
79	881	5728
80	891	5714
81	901	5693
82	910	5670
83	918	5642
84	928	5626
85	939	5612
86	944	5569
87	954	5551
88	963	5531
89	971	5505
90	979	5477
91	987	5452
92	996	5434
93	1007	5423
94	1019	5418
95	1028	5397
96	1037	5381
97	1046	5358
98	1054	5336
99	1083	5419
100	1094	5405
101	1104	5393
102	1114	5377
103	1123	5359
104	1133	5342
105	1150	5362
106	1161	5352
107	1171	5337
108	1180	5317
109	1189	5298
110	1196	5273
111	1205	5253
112	1214	5233
113	1226	5228
114	1236	5214
115	1246	5199
116	1254	5178
117	1263	5159
118	1271	5140
119	1280	5122
120	1290	5107
121	1299	5092
122	1307	5072
123	1316	5053
124	1325	5035
125	1334	5021
126	1343	5004
127	1354	4993
128	1364	4981
129	1374	4970
130	1384	4955
131	1393	4940
132	1404	4932
133	1415	4923
134	1428	4920
135	1440	4914
136	1451	4904
137	1460	4889
138	1469	4872
139	1477	4855
140	1491	4854
141	1502	4845
142	1513	4838
143	1523	4823
144	1532	4810
145	1542	4796
146	1555	4794
147	1566	4782
148	1576	4773
149	1587	4762
150	1596	4747
151	1606	4734
152	1644	4804
153	1656	4796
154	1666	4785
155	1677	4773
156	1689	4766
157	1706	4772
158	1717	4762
159	1728	4753
160	1738	4739
161	1747	4724
162	1758	4713
163	1770	4707
164	1784	4704
165	1797	4700
166	1811	4696
167	1824	4691
168	1834	4679
169	1843	4663
170	1852	4648
171	1861	4632
172	1870	4616
173	1880	4604
174	1892	4595
175	1902	4582
176	1911	4567
177	1919	4550
178	1925	4529
179	1938	4524
180	1951	4518
181	1963	4509
182	1973	4496
183	1981	4480
184	1991	4466
185	2000	4452
186	2011	4442
187	2021	4430
188	2033	4422
189	2043	4409
190	2052	4394
191	2061	4381
192	2074	4374
193	2087	4369
194	2098	4358
195	2110	4349
196	2120	4337
197	2130	4326
198	2143	4318
199	2154	4308
200	2167	4302
201	2177	4290
202	2187	4278
203	2198	4267
