iter	RMSE
0	1.011198568
1	1.004994618
2	0.9985991269
3	0.9921710662
4	0.9856699811
5	0.979678483
6	0.9734983767
7	0.967619235
8	0.9619101515
9	0.9561413411
10	0.9501317788
11	0.9446203937
12	0.9391562831
13	0.9334325479
14	0.9280646567
15	0.9222155102
16	0.9167502637
17	0.9114365832
18	0.9057360744
19	0.9005820271
20	0.8955487039
21	0.8903899215
22	0.8850074852
23	0.8796461448
24	0.8748879598
25	0.8696887267
26	0.864381953
27	0.8595086145
28	0.8549486265
29	0.8500827672
30	0.845474465
31	0.8404009233
32	0.8355050912
33	0.8307519005
34	0.8261556475
35	0.8217094449
36	0.8177511309
37	0.813670579
38	0.8092323229
39	0.8046185996
40	0.800387821
41	0.7962458849
42	0.7916105689
43	0.7874870375
44	0.7833534836
45	0.7792047765
46	0.7749162222
47	0.771013643
48	0.7668187161
49	0.7630289202
50	0.7589822431
51	0.755252075
52	0.7510772213
53	0.7471651102
54	0.7436335497
55	0.7398973187
56	0.7359186084
57	0.732377173
58	0.7282285923
59	0.7244034488
60	0.7207334935
61	0.7167686624
62	0.7137800785
63	0.7106440774
64	0.7070931161
65	0.7036894525
66	0.7001302916
67	0.6966872607
68	0.6936344104
69	0.6898889236
70	0.6864368349
71	0.6834036143
72	0.680029983
73	0.677030239
74	0.6739054669
75	0.6707472638
76	0.6676603341
77	0.6640384445
78	0.660947577
79	0.6579673019
80	0.6546912946
81	0.6517386692
82	0.6488539453
83	0.6457695625
84	0.6427760409
85	0.6395715571
86	0.6368455567
87	0.634326545
88	0.6313890635
89	0.6288707685
90	0.6261488908
91	0.6232613991
92	0.6207985925
93	0.6179587237
94	0.6157373387
95	0.6132076498
96	0.6105057621
97	0.6076857542
98	0.604986395
99	0.6023620707
100	0.5995995647
101	0.596944693
102	0.5942607283
103	0.591446745
104	0.5887863322
105	0.5863974878
106	0.583885266
107	0.5815500984
108	0.5792322432
109	0.5769784264
110	0.5747828296
111	0.5723158214
112	0.5701832207
113	0.5676974339
114	0.5654497561
115	0.5632500112
116	0.5611843301
117	0.559107096
118	0.5567207043
119	0.5547518321
120	0.5527518609
121	0.5507044991
122	0.5483809776
123	0.5463429075
124	0.5442345786
125	0.5423022576
126	0.5401310754
127	0.5380923398
128	0.5362287207
129	0.5340530361
130	0.5321982273
131	0.5302478945
132	0.5282767896
133	0.5265493419
134	0.5244700493
135	0.5228970357
136	0.5212748172
137	0.5195118749
138	0.517580831
139	0.515896291
140	0.5140413773
141	0.5122110463
142	0.5104622756
143	0.5086940063
144	0.5071378757
145	0.5055561303
146	0.5040119347
147	0.5023952111
148	0.5006309011
149	0.4989044245
150	0.4973181448
151	0.4957000095
152	0.4940639184
153	0.4922636126
154	0.4905051652
155	0.4888913105
156	0.4872039529
157	0.4854471152
158	0.4841997947
159	0.4825251377
160	0.4807460032
161	0.4792946657
162	0.4779063592
163	0.4765374323
164	0.4748765261
165	0.4732951988
166	0.4719103543
167	0.4703307397
168	0.4690834956
169	0.4675610187
170	0.4660689417
171	0.4644579358
172	0.4629437566
173	0.4614971155
174	0.460102856
175	0.4584881688
176	0.4572162963
177	0.4557032845
178	0.4542592607
179	0.4527958774
180	0.451424914
181	0.4500608403
182	0.4488934097
183	0.4478350575
184	0.4466122028
185	0.4453693439
186	0.4441895132
187	0.4430895834
188	0.4415741898
189	0.4404020284
190	0.4392338169
191	0.4380691987
192	0.4371980661
193	0.4361661241
194	0.4349821488
195	0.4334414646
196	0.4323220708
197	0.4310332146
198	0.4299097048
199	0.4289077054
200	0.4278156536
201	0.4265806629
202	0.4255235207
203	0.4245737807
204	0.4235429163
205	0.4225201309
206	0.4214568284
207	0.4205326913
208	0.4196888612
209	0.4188048977
210	0.4177583391
211	0.4166450097
212	0.4156019274
213	0.4145846952
214	0.4135814606
215	0.4125670388
216	0.411715919
217	0.4107295567
218	0.4099321288
219	0.4087746007
220	0.4078369269
221	0.40664461
222	0.4055962442
223	0.4047485393
224	0.4037200338
225	0.4026231253
226	0.4016199528
227	0.4008453248
228	0.3999135959
229	0.3992602212
230	0.3983613554
231	0.397674082
232	0.3969694099
233	0.3958141401
